,Symbol,Name,EV/EBIT, MV , TDebt , EBIT 
1950,NXTM,NXSTAGE MEDICAL INC,-354.9484855," 1,836,980,352.00 "," 14,076,000.00 "," -5,215,000.00 "
2770,USAT,USA TECHNOLOGIES INC,-333.8195189," 280,097,440.00 "," 11,327,000.00 "," -873,000.00 "
2665,TRHC,TABULA RASA HEALTHCARE,-316.9177854," 385,495,616.00 "," 1,461,000.00 "," -1,221,000.00 "
2153,PODD,INSULET CORP,-301.1833538," 3,402,873,088.00 "," 340,836,000.00 "," -12,430,000.00 "
1239,HCHC,HC2 HLDGS INC,-284.1143093," 192,265,424.00 "," 494,722,976.00 "," -2,418,000.00 "
2542,STRP,STRAIGHT PATH COMM INC,-264.9193212," 2,281,296,128.00 "," 10,256,000.00 "," -8,650,000.00 "
856,EGHT,8X8 INC NEW,-258.8978339," 1,262,644,736.00 ", -   ," -4,877,000.00 "
2236,RATE,BANKRATE INC,-254.7523936," 1,235,846,144.00 "," 296,999,008.00 "," -6,017,000.00 "
168,ANGI,ANGIES LIST INC,-251.5444602," 720,186,560.00 "," 58,092,000.00 "," -3,094,000.00 "
2627,TISI,TEAM INC,-248.3849308," 361,054,336.00 "," 381,864,992.00 "," -2,991,000.00 "
448,CARB,CARBONITE INC,-240.6643594," 544,862,400.00 "," 108,782,000.00 "," -2,716,000.00 "
1083,FRPT,FRESHPET INC,-235.4593992," 556,849,088.00 "," 7,500,000.00 "," -2,396,800.00 "
251,AVGO,BROADCOM LIMITED,-230.9343514," 106,975,731,712.00 "," 13,571,999,744.00 "," 1,968,000,000.00 "
327,BGC,GENERAL CABLE CORP,-225.2951963," 855,782,592.00 "," 1,083,000,064.00 "," -8,600,000.00 "
949,EXEL,EXELIXIS INC,-222.7895076," 8,279,303,680.00 ", -   ," -37,162,000.00 "
906,ERA,ERA GROUP INC,-217.7515438," 219,391,648.00 "," 223,514,992.00 "," -2,034,000.00 "
1548,LAWS,LAWSON PRODUCTS INC,-207.827772," 208,103,744.00 "," 6,998,000.00 "," -1,035,000.00 "
1605,LNG,CHENIERE ENERGY INC,-200.9518973," 10,326,100,992.00 "," 24,739,000,320.00 "," -174,495,000.00 "
83,AGN,ALLERGAN PLC,-198.4947937," 74,595,360,768.00 "," 30,238,300,160.00 "," -528,000,000.00 "
2190,PTC,PTC INC,-192.3300486," 6,463,643,136.00 "," 712,190,976.00 "," -37,310,000.00 "
2624,TIME,TIME INC,-192.2041206," 1,274,653,568.00 "," 1,224,000,000.00 "," -13,000,000.00 "
696,CTT,CATCHMARK TIMBER TRUST,-181.2357104," 457,339,648.00 "," 333,572,992.00 "," -4,364,000.00 "
1896,NPO,ENPRO INDUSTRIES INC,-181.087675," 1,482,822,272.00 "," 835,099,968.00 "," -12,800,000.00 "
188,APPF,APPFOLIO INC,-178.7682688," 1,468,402,560.00 ", -   ," -8,214,000.00 "
1613,LORL,LORAL SPACE & COMM,-174.7987951," 1,395,069,184.00 ", -   ," -7,981,000.00 "
2074,PE,PARSLEY ENERGY INC,-171.7842924," 7,285,148,672.00 "," 1,494,402,944.00 "," -51,108,000.00 "
1410,IONS,IONIS PHARMACEUTICALS,-166.524602," 6,860,665,344.00 "," 604,132,992.00 "," -44,827,000.00 "
162,ANAB,ANAPTYS BIO INC,-164.483216," 611,088,704.00 "," 14,112,000.00 "," -3,801,000.00 "
2307,ROSE,ROSEHILL RESOURCES INC,-161.9635273," 213,188,608.00 "," 20,000,000.00 "," -1,439,760.00 "
1025,FIVN,FIVE9 INC,-160.4845129," 1,170,676,608.00 "," 45,796,000.00 "," -7,580,000.00 "
2621,TIER,TIER REIT INC,-160.2920319," 868,828,864.00 "," 779,934,976.00 "," -10,286,000.00 "
2942,WTM,WHITE MTNS INS GROUP LTD,-154.44869," 3,742,503,168.00 "," 10,600,000.00 "," -24,300,000.00 "
2118,PJC,PIPER JAFFRAY COMPANIES,-153.5670265," 810,121,088.00 "," 472,010,016.00 "," -8,349,000.00 "
2512,SRG,SERITAGE GROWTH PROP,-148.2296169," 2,655,947,776.00 "," 1,333,355,904.00 "," -26,913,000.00 "
2602,TER,TERADYNE INC,-144.0215623," 7,046,775,808.00 "," 359,244,992.00 "," -51,423,000.00 "
1585,LIVN,LIVANOVA PLC,-141.2065981," 3,040,271,616.00 "," 127,416,000.00 "," -22,433,000.00 "
2067,PCYO,PURECYCLE CORP,-138.0537139," 169,841,824.00 ", -   ," -1,230,259.00 "
2426,SHOR,SHORETEL INC,-136.4194526," 513,346,400.00 ", -   ," -3,763,000.00 "
2378,SCHN,SCHNITZER STEEL INDS,-132.525763," 692,347,456.00 "," 184,442,992.00 "," -6,616,000.00 "
721,CVX,CHEVRON CORP,-130.2844222," 212,353,695,744.00 "," 42,864,001,024.00 "," -1,959,000,000.00 "
782,DJCO,DAILY JOURNAL CORP,-129.2724812," 290,813,568.00 "," 31,592,000.00 "," -2,494,000.00 "
2295,RNET,RIGNET INC,-128.4811462," 308,005,888.00 "," 47,116,000.00 "," -2,764,000.00 "
2687,TSLA,TESLA INC,-122.4663608," 57,497,579,520.00 "," 9,557,406,720.00 "," -547,538,000.00 "
2809,VICR,VICOR CORP,-121.0795197," 730,109,504.00 ", -   ," -6,030,000.00 "
2712,TWOU,2U INC,-115.4595806," 2,368,922,880.00 "," 15,202,000.00 "," -20,649,000.00 "
1398,INSE,INSPIRED ENTERTAINMENT,-114.4092092," 276,521,440.00 "," 126,909,000.00 "," -3,526,206.00 "
2296,RNG,RINGCENTRAL INC,-112.9472506," 3,199,456,768.00 ", -   ," -28,327,000.00 "
584,CMPR,CIMPRESS NV,-112.4909782," 2,939,721,216.00 "," 1,035,709,952.00 "," -35,340,000.00 "
1818,MYOK,MYOKARDIA INC,-112.0918054," 1,474,231,424.00 ", -   ," -13,152,000.00 "
1298,HP,HELMERICH & PAYNE INC,-111.0546423," 5,032,775,680.00 "," 492,636,992.00 "," -49,754,000.00 "
1933,NVRO,NEVRO CORP,-110.9231537," 2,494,125,056.00 "," 141,520,000.00 "," -23,761,000.00 "
2259,RETA,REATE PHARMACEUTICALS,-110.5840528," 717,582,464.00 "," 19,792,000.00 "," -6,668,000.00 "
826,DXCM,DEXCOM INC,-106.3943935," 6,503,320,064.00 "," 327,200,000.00 "," -64,200,000.00 "
1373,III,INFORMATION SERVICES GRP,-106.0212421," 162,313,504.00 "," 119,703,000.00 "," -2,660,000.00 "
1900,NRE,NORTHSTAR REALTY EUROPE,-105.9226654," 685,255,168.00 "," 1,255,353,984.00 "," -18,321,000.00 "
658,CROX,CROCS INC,-101.3860888," 644,777,088.00 "," 1,762,000.00 "," -6,377,000.00 "
2680,TRUP,TRUPANION INC,-96.53821807," 634,704,768.00 "," 6,309,000.00 "," -6,640,000.00 "
442,CALD,CALLIDUS SOFTWARE INC,-96.43444676," 1,694,449,664.00 ", -   ," -17,571,000.00 "
2541,STRL,STERLING CONSTRUCTION CO,-94.39088927," 354,095,616.00 "," 89,164,000.00 "," -4,696,000.00 "
1219,HAE,HAEMONETICS CORP,-92.97542233," 2,251,549,696.00 "," 303,043,008.00 "," -27,476,000.00 "
890,ENV,ENVESTNET INC,-90.93528874," 1,912,669,056.00 "," 259,774,992.00 "," -23,890,000.00 "
814,DSKE,DASEKE INC,-90.52776716," 511,830,816.00 "," 346,644,000.00 "," -9,483,000.00 "
226,AT,ATLANTIC PWR CORP,-89.96403248," 268,821,600.00 "," 927,700,032.00 "," -13,300,000.00 "
2283,RL,RALPH LAUREN CORP,-89.26182815," 7,358,319,104.00 "," 898,400,000.00 "," -92,500,000.00 "
1535,KTOS,KRATOS DEFENSE & SEC SOL,-87.89394," 1,177,433,344.00 "," 369,500,000.00 "," -17,600,000.00 "
1136,GHDX,GENOMIC HEALTH INC,-87.70548158," 1,099,651,328.00 ", -   ," -12,538,000.00 "
1157,GMRE,GLOBAL MEDICAL REIT INC,-87.31026773," 193,378,448.00 ", -   ," -2,214,842.00 "
2620,THS,TREEHOUSE FOODS INC,-84.83620575," 3,825,897,472.00 "," 2,639,300,096.00 "," -76,208,000.00 "
1391,INFN,INFINERA CORP,-83.66811833," 1,224,173,312.00 "," 139,115,008.00 "," -16,294,000.00 "
865,EIGI,ENDURANCE INTERNATIONAL,-82.83458501," 1,080,540,928.00 "," 1,976,220,928.00 "," -36,902,000.00 "
2445,SLB,SCHLUMBERGER LTD,-82.52331472," 91,316,625,408.00 "," 18,851,999,744.00 "," -1,335,000,000.00 "
2011,ORBC,ORBCOMM INC,-79.04810217," 830,910,336.00 "," 246,041,008.00 "," -13,624,000.00 "
154,AMRI,ALBANY MOLECULAR RESRCH,-78.66927211," 928,254,528.00 "," 647,963,008.00 "," -20,036,000.00 "
863,EHTH,EHEALTH INC,-78.25872832," 450,222,464.00 ", -   ," -5,753,000.00 "
1258,HFC,HOLLYFRONTIER CORP,-77.62847344," 5,483,816,960.00 "," 2,227,950,848.00 "," -99,342,000.00 "
1010,FGEN,FIBROGEN INC,-76.88284326," 3,809,288,960.00 "," 113,735,000.00 "," -51,026,000.00 "
2041,PANW,PALO ALTO NETWORKS INC,-75.99380165," 13,289,673,728.00 "," 518,400,032.00 "," -181,700,000.00 "
266,AXGN,AXOGEN INC,-75.36434404," 590,011,776.00 "," 24,168,966.00 "," -8,149,487.00 "
2227,QUOT,QUOTIENT TECHNOLOGY INC,-71.76909034," 1,380,693,760.00 ", -   ," -19,238,000.00 "
1313,HSC,HARSCO CORP,-71.48614795," 1,351,049,216.00 "," 642,484,992.00 "," -27,887,000.00 "
1782,MSG,MADISON SQUARE GARDEN CO,-70.4070335," 5,316,190,208.00 "," 105,433,000.00 "," -77,004,000.00 "
2829,VRNS,VARONIS SYSTEMS INC,-68.43678145," 1,074,046,848.00 ", -   ," -15,694,000.00 "
2709,TWLO,TWILIO INC,-66.99306073," 2,746,581,504.00 ", -   ," -40,998,000.00 "
895,EPAY,BOTTOMLINE TECHNOLOGIES,-66.25345539," 1,221,885,056.00 "," 183,682,000.00 "," -21,215,000.00 "
2579,TBI,TRUEBLUE INC,-66.10734416," 759,705,152.00 "," 111,193,000.00 "," -13,174,000.00 "
1331,HUBS,HUBSPOT INC,-65.78050147," 2,654,735,360.00 "," 289,863,008.00 "," -44,764,000.00 "
1572,LFGR,LEAF GROUP LTD,-65.37367972," 131,858,712.00 ", -   ," -2,017,000.00 "
1428,IRWD,IRONWOOD PHARMACEUTICALS,-64.88070647," 2,368,041,472.00 "," 392,956,992.00 "," -42,555,000.00 "
1584,LITE,LUMENTUM HOLDINGS INC,-64.81892334," 3,558,671,616.00 "," 317,500,000.00 "," -59,800,000.00 "
1634,LTS,LADENBURG THALMAN FIN,-64.74195912," 488,916,480.00 "," 30,573,000.00 "," -8,024,000.00 "
2823,VOYA,VOYA FINANCIAL INC,-64.31543094," 6,717,298,688.00 "," 7,657,200,128.00 "," -223,500,000.00 "
1427,IRTC,IRHYTHM TECHNOLOGIES INC,-63.59424662," 1,089,671,424.00 "," 33,085,000.00 "," -17,655,000.00 "
569,CLR,CONTINENTAL RESOURCES,-63.0726866," 13,112,165,376.00 "," 6,555,990,016.00 "," -311,892,000.00 "
1127,GENC,GENCOR INDUSTRIES INC,-62.95159391," 223,226,352.00 ", -   ," -3,546,000.00 "
963,FANG,DIAMONDBACK ENERGY INC,-62.1949347," 9,092,985,856.00 "," 1,151,515,008.00 "," -164,716,000.00 "
1668,MBI,MBIA INC,-61.82188089," 1,258,160,000.00 "," 5,975,000,064.00 "," -117,000,000.00 "
2856,WAAS,AQUAVENTURE HOLDINGS LTD,-61.62700694," 411,305,280.00 "," 130,580,992.00 "," -8,793,000.00 "
1747,MNTA,MOMENTA PHARMACEUTICALS,-60.9752862," 1,280,663,936.00 ", -   ," -21,003,000.00 "
2502,SQ,SQUARE INC,-60.97194373," 9,995,332,608.00 "," 349,960,000.00 "," -169,673,000.00 "
205,ARNA,ARENA PHARMACEUTICALS,-59.3693374," 909,124,224.00 "," 63,583,000.00 "," -16,384,000.00 "
2766,UPLD,UPLAND SOFTWARE INC,-59.16104064," 472,140,896.00 "," 72,259,000.00 "," -9,202,000.00 "
1514,KND,KINDRED HEALTHCARE INC,-58.30135535," 670,046,272.00 "," 3,326,978,048.00 "," -68,558,000.00 "
934,EVBG,EVERBRIDGE INC,-57.62605257," 622,591,872.00 ", -   ," -10,804,000.00 "
905,EQT,EQT CORPORATION,-57.5729692," 10,905,735,168.00 "," 3,292,162,048.00 "," -246,607,000.00 "
2063,PCRX,PACIRA PHARMACEUTICALS,-57.4452642," 1,498,690,560.00 "," 269,647,008.00 "," -30,783,000.00 "
2446,SLCA,U S SILICA HLDGS INC,-56.91187688," 2,319,448,832.00 "," 513,226,016.00 "," -49,773,000.00 "
2874,WDAY,WORKDAY INC,-56.4894755," 22,567,999,488.00 "," 541,393,024.00 "," -409,092,000.00 "
2169,PRGS,PROGRESS SOFTWARE CORP,-56.02041361," 1,615,739,904.00 "," 126,607,000.00 "," -31,102,000.00 "
2007,OPK,OPKO HEALTH INC,-55.39221223," 3,529,845,504.00 "," 132,466,000.00 "," -66,116,000.00 "
958,EXTR,EXTREME NETWORKS INC,-54.57194601," 1,241,582,080.00 "," 92,702,000.00 "," -24,450,000.00 "
1172,GOGO,GOGO INC,-53.95176047," 1,248,684,416.00 "," 884,784,000.00 "," -39,544,000.00 "
1665,MB,MINDBODY INC,-53.87498045," 1,145,000,704.00 "," 15,197,000.00 "," -21,535,000.00 "
2412,SGEN,SEATTLE GENETICS INC,-52.98015111," 7,423,101,952.00 ", -   ," -140,111,000.00 "
55,ADSK,AUTODESK INC,-52.74061963," 24,764,313,600.00 "," 1,584,899,968.00 "," -499,600,000.00 "
39,ACOR,ACORDA THERAPEUTICS INC,-51.91589946," 1,007,655,168.00 "," 328,712,000.00 "," -25,741,000.00 "
1444,IVC,INVACARE CORP,-50.9023441," 458,544,864.00 "," 237,901,008.00 "," -13,682,000.00 "
2097,PFPT,PROOFPOINT INC,-50.85868562," 4,031,106,304.00 "," 377,528,000.00 "," -86,684,000.00 "
1956,NYNY,EMPIRE RESORTS INC,-50.2208576," 738,892,544.00 "," 455,259,008.00 "," -23,778,000.00 "
1893,NOW,SERVICENOW INC,-49.70886985," 19,577,251,840.00 "," 1,140,062,976.00 "," -416,773,000.00 "
2793,VCRA,VOCERA COMMUNICATIONS,-48.53801792," 811,713,344.00 "," 716,000.00 "," -16,738,000.00 "
2225,QTWO,Q2 HLDGS INC,-47.93075113," 1,694,831,360.00 ", -   ," -35,360,000.00 "
2955,X,UNITED STATES STEEL CORP,-46.90199583," 4,811,829,248.00 "," 2,927,000,064.00 "," -165,000,000.00 "
141,AMD,ADVANCED MICRO DEVICES,-46.35538236," 12,118,771,712.00 "," 1,416,999,936.00 "," -292,000,000.00 "
2493,SPNC,SPECTRANETICS CORP,-45.92835061," 1,682,802,688.00 "," 339,790,016.00 "," -44,038,000.00 "
384,BOOM,DMC GLOBAL INC,-45.6047624," 187,587,888.00 "," 23,927,000.00 "," -4,638,000.00 "
893,EOG,EOG RESOURCES INC,-45.23790787," 50,728,804,352.00 "," 6,986,804,224.00 "," -1,275,824,000.00 "
2042,PARR,PAR PACIFIC HOLDINGS INC,-45.1760954," 798,342,848.00 "," 341,946,976.00 "," -25,241,000.00 "
931,ETR,ENTERGY CORP,-44.65363306," 14,133,610,496.00 "," 16,285,203,456.00 "," -681,217,000.00 "
1688,MDCO,MEDICINES CO,-44.4244064," 2,687,813,376.00 "," 636,153,984.00 "," -74,823,000.00 "
630,COTY,COTY INC,-44.40020887," 12,375,796,736.00 "," 7,137,399,808.00 "," -439,400,000.00 "
1627,LSCC,LATTICE SEMICONDUCTOR,-44.35611931," 691,102,656.00 "," 302,296,992.00 "," -22,396,000.00 "
2679,TRUE,TRUECAR INC,-44.16872435," 1,672,480,768.00 "," 29,031,000.00 "," -38,523,000.00 "
1858,NEWR,NEW RELIC INC,-43.39662458," 2,635,303,424.00 ", -   ," -60,726,000.00 "
1791,MTDR,MATADOR RES CO,-43.33230732," 2,454,680,320.00 "," 573,987,968.00 "," -69,894,000.00 "
674,CSOD,CORNERSTONE ONDEMAND INC,-42.98078913," 2,021,598,720.00 "," 243,171,008.00 "," -52,706,000.00 "
2819,VNDA,VANDA PHARMACEUTICALS,-42.83910019," 767,076,928.00 ", -   ," -17,906,000.00 "
742,DATA,TABLEAU SOFTWARE INC,-41.485062," 5,701,167,616.00 ", -   ," -137,427,000.00 "
2713,TWTR,TWITTER INC,-41.38272339," 12,359,952,384.00 "," 1,746,011,008.00 "," -340,866,000.00 "
509,CETV,CENTRAL EUROPEAN MEDIA,-41.18636321," 590,247,424.00 "," 1,100,699,904.00 "," -41,056,000.00 "
2524,STAA,STAAR SURGICAL CO,-40.73331625," 495,361,056.00 "," 6,840,000.00 "," -12,329,000.00 "
111,AKTS,AKOUSTIS TECHNOLOGIES,-40.35185472," 149,738,752.00 ", -   ," -3,710,827.00 "
1620,LPSN,LIVEPERSON INC,-39.87940178," 795,155,392.00 ", -   ," -19,939,000.00 "
123,ALKS,ALKERMES PLC,-39.75777698," 7,649,044,992.00 "," 282,552,000.00 "," -209,000,000.00 "
1830,NBIX,NEUROCRINE BIOSCIENCES,-39.22319926," 5,173,320,192.00 "," 360,680,992.00 "," -141,090,000.00 "
1438,ITI,ITERIS INC,-39.15912674," 204,841,392.00 ", -   ," -5,231,000.00 "
749,DDD,3D SYSTEMS CORP,-38.96527913," 1,488,503,936.00 "," 7,973,000.00 "," -38,420,000.00 "
957,EXTN,EXTERRAN CORPORATION,-38.63596895," 1,001,144,192.00 "," 367,535,008.00 "," -35,425,000.00 "
1503,KITE,KITE PHARMA INC,-37.85050721," 10,217,782,272.00 ", -   ," -269,951,000.00 "
1736,MLVF,MALVERN BANCORP INC,-37.47924289," 155,524,064.00 "," 142,286,000.00 "," -7,946,000.00 "
459,CAVM,CAVIUM INC,-37.34916975," 4,344,937,984.00 "," 637,604,032.00 "," -133,478,000.00 "
2653,TPHS,TRINITY PLACE HOLDINGS,-36.83479946," 224,520,864.00 "," 48,425,000.00 "," -7,410,000.00 "
2961,XENT,INTERSECT ENT INC,-36.74424931," 926,763,456.00 ", -   ," -25,222,000.00 "
529,CHGG,CHEGG INC,-36.66918265," 1,480,224,896.00 ", -   ," -40,367,000.00 "
2033,OXY,OCCIDENTAL PETE CORP,-36.66257993," 47,112,986,624.00 "," 9,824,000,000.00 "," -1,553,000,000.00 "
2519,SSNI,SILVER SPRING NETWORKS,-35.70668967," 687,246,656.00 ", -   ," -19,247,000.00 "
2985,Z,ZILLOW GROUP INC CLASS C,-35.3363182," 7,146,843,136.00 "," 376,259,008.00 "," -212,900,000.00 "
257,AVXS,AVEXIS INC,-35.26678167," 2,927,559,168.00 ", -   ," -83,011,804.00 "
631,COUP,COUPA SOFTWARE INC,-35.24115353," 1,615,579,776.00 ", -   ," -45,821,000.00 "
498,CDZI,CADIZ INC,-35.21402373," 271,542,720.00 "," 132,009,992.00 "," -11,460,000.00 "
1766,MRC,MRC GLOBAL INC,-35.12933714," 1,557,242,880.00 "," 410,000,000.00 "," -56,000,000.00 "
2214,QDEL,QUIDEL CORP,-34.04235188, -   , -   ," -4,439,000.00 "
2148,PNK,PINNACLE ENTERTAINMENT,-33.82657693," 1,102,976,256.00 "," 4,025,876,992.00 "," -151,622,000.00 "
376,BNFT,BENEFITFOCUS INC,-33.53508244," 965,014,848.00 "," 112,132,000.00 "," -32,120,000.00 "
635,CPE,CALLON PETROLEUM CO,-33.30414048," 2,067,727,872.00 "," 595,137,984.00 "," -79,956,000.00 "
2855,W,WAYFAIR INC,-33.2961798," 6,368,975,872.00 "," 82,725,000.00 "," -193,767,000.00 "
822,DVMT,DELL TECHNOLOGIES,-33.03851233," 57,645,240,320.00 "," 49,796,001,792.00 "," -3,252,000,000.00 "
1877,NKTR,NEKTAR THERAPEUTICS,-32.9120268," 3,387,627,776.00 "," 248,098,000.00 "," -110,468,000.00 "
348,BKD,BROOKDALE SENIOR LIVING,-32.81884401," 2,202,749,184.00 "," 5,189,071,872.00 "," -225,231,000.00 "
2675,TRS,TRIMAS CORP,-32.43106322," 1,092,736,640.00 "," 350,769,984.00 "," -44,510,000.00 "
2894,WIFI,BOINGO WIRELESS INC,-32.27507622," 827,049,664.00 "," 15,233,000.00 "," -26,097,000.00 "
415,BV,BAZAARVOICE INC,-32.26050927," 404,581,472.00 "," 32,000,000.00 "," -13,533,000.00 "
1615,LOXO,LOXO ONCOLOGY INC,-32.15851222," 2,328,211,968.00 ", -   ," -72,398,000.00 "
2912,WMGI,WRIGHT MEDICAL GROUP N V,-31.9608201," 2,997,816,832.00 "," 831,409,024.00 "," -119,810,000.00 "
497,CDXS,CODEXIS INC,-30.68003815," 263,367,968.00 "," 419,000.00 "," -8,598,000.00 "
947,EXAS,EXACT SCIENCES CORP,-30.23955726," 5,043,715,584.00 "," 6,230,000.00 "," -166,998,000.00 "
389,BPMC,BLUEPRINT MEDICINES CORP,-30.09877933," 2,165,223,680.00 "," 2,671,000.00 "," -72,026,000.00 "
2482,SONS,SONUS NETWORKS INC,-29.98761317," 342,338,592.00 ", -   ," -11,416,000.00 "
2997,ZNGA,ZYNGA INC,-29.83179872," 3,124,314,112.00 ", -   ," -104,731,000.00 "
2136,PLSE,PULSE BIOSCIENCES INC,-29.08084219," 276,791,456.00 ", -   ," -9,518,000.00 "
1342,HZNP,HORIZON PHARMA PLC,-28.82502548," 2,185,676,544.00 "," 1,892,343,936.00 "," -141,475,000.00 "
2491,SPLS,STAPLES INC,-28.68170155," 6,724,741,120.00 "," 1,048,000,000.00 "," -271,000,000.00 "
2594,TDOC,TELADOC INC,-28.67369842," 1,869,588,608.00 "," 243,835,008.00 "," -73,706,000.00 "
1536,KTWO,K2M GROUP HLDGS INC,-28.62386459," 990,250,432.00 "," 73,441,000.00 "," -37,161,000.00 "
2490,SPLK,SPLUNK INC,-27.19043975," 9,407,844,352.00 "," 100,163,000.00 "," -349,682,000.00 "
2443,SKYW,SKYWEST INC,-27.10921478," 1,866,268,800.00 "," 2,759,512,064.00 "," -170,635,000.00 "
859,EGN,ENERGEN CORP,-27.09317292," 5,020,235,776.00 "," 676,158,016.00 "," -210,252,000.00 "
2990,ZEN,ZENDESK INC,-26.80468611," 2,755,682,560.00 ", -   ," -102,806,000.00 "
2111,PHX,PANHANDLE OIL AND GAS,-26.47738903," 390,934,976.00 "," 50,000,000.00 "," -16,653,265.00 "
1617,LPI,LAREDO PETROLEUM INC,-26.40986502," 3,031,817,216.00 "," 1,390,276,992.00 "," -167,441,000.00 "
2605,TEX,TEREX CORP,-26.14496892," 3,418,656,256.00 "," 992,000,000.00 "," -168,700,000.00 "
1443,IVAC,INTEVAC INC,-26.05405508," 187,328,656.00 ", -   ," -7,190,000.00 "
2277,RICE,RICE ENERGY INC,-25.90732782," 5,917,928,960.00 "," 1,631,595,904.00 "," -291,405,000.00 "
2965,XLRN,ACCELERON PHARMA INC,-25.88962499," 1,475,449,728.00 ", -   ," -56,990,000.00 "
743,DBD,DIEBOLD NIXDORF,-25.08479112," 1,525,320,192.00 "," 1,906,899,968.00 "," -136,900,000.00 "
18,ABEO,ABEONA THERAPEUTICS INC,-25.05635268," 547,907,264.00 ", -   ," -21,867,000.00 "
304,BCOV,BRIGHTCOVE INC,-24.88253548," 236,122,560.00 "," 585,000.00 "," -9,513,000.00 "
1224,HALO,HALOZYME THERAPEUTICS,-24.85020722," 1,823,802,368.00 "," 211,032,000.00 "," -81,884,000.00 "
1063,FORM,FORMFACTOR INC,-24.41605514," 1,102,677,888.00 "," 122,886,000.00 "," -50,195,000.00 "
608,COG,CABOT OIL & GAS CORP,-24.36414684," 12,397,124,608.00 "," 1,521,211,008.00 "," -571,263,000.00 "
1280,HLX,HELIX ENERGY SOLUTIONS,-24.24990746," 1,004,251,200.00 "," 515,636,000.00 "," -62,676,000.00 "
1916,NTLA,INTELLA THERAPEUTICS INC,-24.24726611," 767,038,016.00 ", -   ," -31,634,000.00 "
239,ATRC,ATRICURE INC,-24.13314081," 721,361,536.00 "," 38,760,000.00 "," -31,497,000.00 "
464,CBI,CHICAGO BRIDGE & IRON,-24.08947502," 1,334,419,072.00 "," 1,843,319,936.00 "," 634,000,000.00 "
227,ATEN,A10 NETWORKS INC,-23.55709661," 465,464,672.00 ", -   ," -19,759,000.00 "
